,train_rmse,test_rmse
XLB,1.0930746370505673,4.823773976295813
XLE,1.3408648937844456,3.687741290256055
XLF,0.5125974794084017,2.630823962923779
XLI,1.402637015429666,23.278557192619083
XLK,2.7273029291753668,36.121876862517674
XLP,0.91958279056621,3.602353275864432
XLRE,0.7595197931774501,0.8692479997051444
XLU,0.8228079825860921,2.1091080878703394
XLV,1.7175276952275709,10.911001063163022
XLY,2.557483288519067,2.4889315575561817
ADA-USD,0.06287070367495196,0.043447932040109834
BTC-USD,1347.2583402938585,2827.1364737407157
XRP-USD,0.06736228382633946,0.03783435079823916
