,Tenor,Rate,Discount Factor
0,0.5,0.0025,0.9987515605493182
1,1.0,0.003,0.9970089730807411
2,1.5,0.003125,0.9952698594969898
3,2.0,0.00325,0.9935307459132384
4,2.5,0.0033,0.9917729435657865
5,3.0,0.00335,0.9900151412183346
6,3.5,0.003425,0.988065895466792
7,4.0,0.0035,0.9861166497152494
8,4.5,0.00355,0.9841503847242505
9,5.0,0.0036,0.9821841197332517
10,5.5,0.0037,0.9807129347903132
11,6.0,0.0038,0.9792417498473747
12,6.5,0.0039,0.9777705649044363
13,7.0,0.004,0.9762993799614977
14,7.5,0.004083333333333333,0.9750788847375602
15,8.0,0.004166666666666667,0.9738583895136227
16,8.5,0.00425,0.9726378942896852
17,9.0,0.004333333333333333,0.9714173990657476
18,9.5,0.004416666666666666,0.9701969038418101
19,10.0,0.0045,0.9689764086178726
20,10.5,0.004549999999999999,0.9681513391898124
21,11.0,0.0046,0.9673262697617523
22,11.5,0.00465,0.9665012003336922
23,12.0,0.0047,0.9656761309056321
24,12.5,0.00475,0.9648510614775719
25,13.0,0.0048,0.9640259920495118
26,13.5,0.00485,0.9632009226214516
27,14.0,0.0049,0.9623758531933916
28,14.5,0.00495,0.9615507837653314
29,15.0,0.005,0.9607257143372713
30,15.5,0.005025,0.9600286216455406
31,16.0,0.00505,0.9593315289538098
32,16.5,0.0050750000000000005,0.9586344362620791
33,17.0,0.0051,0.9579373435703483
34,17.5,0.005125,0.9572402508786176
35,18.0,0.00515,0.956543158186887
36,18.5,0.005175,0.9558460654951562
37,19.0,0.005200000000000001,0.9551489728034255
38,19.5,0.0052250000000000005,0.9544518801116947
39,20.0,0.00525,0.953754787419964
