,Equal,Min Var,Max Sharpe,LSTM
0,0.07692307692307693,0.028542955039990964,0.028542955039990964,-0.24184204318275251
1,0.07692307692307693,0.04063339459798738,0.04063339459798738,0.09978270539911745
2,0.07692307692307693,-0.16778292130907027,-0.16778292130907027,0.7202431100173484
3,0.07692307692307693,-0.017883029346433602,-0.017883029346433602,-0.9999953325414433
4,0.07692307692307693,-0.33987429587766443,-0.33987429587766443,0.842461264856345
5,0.07692307692307693,0.7389771118488352,0.7389771118488352,-0.3142853669548464
6,0.07692307692307693,-0.09268876141352948,-0.09268876141352948,-0.19372199366626824
7,0.07692307692307693,0.029491359721097843,0.029491359721097843,0.294530486016382
8,0.07692307692307693,0.4622844547779243,0.4622844547779243,0.5204527639621461
9,0.07692307692307693,0.2987902583394255,0.2987902583394255,0.06385200802494957
10,0.07692307692307693,-0.018767432835703885,-0.018767432835703885,-0.1279512757349131
11,0.07692307692307693,0.03634330616952444,0.03634330616952444,0.32002879787976074
12,0.07692307692307693,0.0019336002876157688,0.0019336002876157688,0.016444875924173916
